id,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
0,202004,강원,건강보조식품 소매업,96059012.0
1,202004,강원,골프장 운영업,2915797995.0
2,202004,강원,과실 및 채소 소매업,994816943.0
3,202004,강원,관광 민예품 및 선물용품 소매업,13317300.0
4,202004,강원,그외 기타 분류안된 오락관련 서비스업,0.0
5,202004,강원,그외 기타 스포츠시설 운영업,2075000.0
6,202004,강원,그외 기타 종합 소매업,470200240.0
7,202004,강원,기타 대형 종합 소매업,6384110710.0
8,202004,강원,기타 수상오락 서비스업,261000.0
9,202004,강원,기타 외국식 음식점업,887636153.0
10,202004,강원,기타 주점업,250737400.0
11,202004,강원,기타음식료품위주종합소매업,8543165454.0
12,202004,강원,내항 여객 운송업,458000.0
13,202004,강원,마사지업,14461000.0
14,202004,강원,면세점,0.0
15,202004,강원,버스 운송업,0.0
16,202004,강원,비알콜 음료점업,902984583.0
17,202004,강원,빵 및 과자류 소매업,1143257530.0
18,202004,강원,서양식 음식점업,1728089290.0
19,202004,강원,수산물 소매업,517573130.0
20,202004,강원,슈퍼마켓,10697999602.0
21,202004,강원,스포츠 및 레크레이션 용품 임대업,2192114606.0
22,202004,강원,여관업,348418711.0
23,202004,강원,여행사업,77745150.0
24,202004,강원,욕탕업,150125300.0
25,202004,강원,육류 소매업,1791210193.0
26,202004,강원,일반유흥 주점업,966787830.0
27,202004,강원,일식 음식점업,1229888938.0
28,202004,강원,자동차 임대업,4607000.0
29,202004,강원,전시 및 행사 대행업,46249060.0
30,202004,강원,정기 항공 운송업,0.0
31,202004,강원,중식 음식점업,1317951278.0
32,202004,강원,차량용 가스 충전업,506599405.0
33,202004,강원,차량용 주유소 운영업,14951456819.0
34,202004,강원,체인화 편의점,8169183294.0
35,202004,강원,택시 운송업,0.0
36,202004,강원,피자 햄버거 샌드위치 및 유사 음식점업,1275528331.0
37,202004,강원,한식 음식점업,18063288995.0
38,202004,강원,호텔업,367560828.0
39,202004,강원,화장품 및 방향제 소매업,452924705.0
40,202004,강원,휴양콘도 운영업,559876015.0
41,202004,경기,건강보조식품 소매업,1284597187.0
42,202004,경기,골프장 운영업,14282870436.0
43,202004,경기,과실 및 채소 소매업,8114936000.0
44,202004,경기,관광 민예품 및 선물용품 소매업,88494950.0
45,202004,경기,그외 기타 분류안된 오락관련 서비스업,0.0
46,202004,경기,그외 기타 스포츠시설 운영업,7012700.0
47,202004,경기,그외 기타 종합 소매업,9593389882.0
48,202004,경기,기타 대형 종합 소매업,134833862231.0
49,202004,경기,기타 수상오락 서비스업,46137060.0
50,202004,경기,기타 외국식 음식점업,9087477050.0
51,202004,경기,기타 주점업,1174535264.0
52,202004,경기,기타음식료품위주종합소매업,21624337619.0
53,202004,경기,내항 여객 운송업,261500.0
54,202004,경기,마사지업,225027378.0
55,202004,경기,면세점,0.0
56,202004,경기,버스 운송업,2379330020.0
57,202004,경기,비알콜 음료점업,12218286138.0
58,202004,경기,빵 및 과자류 소매업,14820214723.0
59,202004,경기,서양식 음식점업,19332551424.0
60,202004,경기,수산물 소매업,4093272663.0
61,202004,경기,슈퍼마켓,143081115973.0
62,202004,경기,스포츠 및 레크레이션 용품 임대업,11219658475.0
63,202004,경기,여관업,3005834906.0
64,202004,경기,여행사업,7116465.0
65,202004,경기,욕탕업,1370201577.0
66,202004,경기,육류 소매업,19534218342.0
67,202004,경기,일반유흥 주점업,4887439444.0
68,202004,경기,일식 음식점업,8367268395.0
69,202004,경기,자동차 임대업,1525927647.0
70,202004,경기,전시 및 행사 대행업,902853970.0
71,202004,경기,정기 항공 운송업,0.0
72,202004,경기,중식 음식점업,14003505089.0
73,202004,경기,차량용 가스 충전업,3072431260.0
74,202004,경기,차량용 주유소 운영업,114977023144.0
75,202004,경기,체인화 편의점,94271865393.0
76,202004,경기,택시 운송업,121411640.0
77,202004,경기,피자 햄버거 샌드위치 및 유사 음식점업,16285816574.0
78,202004,경기,한식 음식점업,176620766398.0
79,202004,경기,호텔업,42998154.0
80,202004,경기,화장품 및 방향제 소매업,4229697273.0
81,202004,경기,휴양콘도 운영업,40504290.0
82,202004,경남,건강보조식품 소매업,310317998.0
83,202004,경남,골프장 운영업,4138688459.0
84,202004,경남,과실 및 채소 소매업,3006580259.0
85,202004,경남,관광 민예품 및 선물용품 소매업,77261600.0
86,202004,경남,그외 기타 분류안된 오락관련 서비스업,482700.0
87,202004,경남,그외 기타 스포츠시설 운영업,623000.0
88,202004,경남,그외 기타 종합 소매업,1121783980.0
89,202004,경남,기타 대형 종합 소매업,18482965833.0
90,202004,경남,기타 수상오락 서비스업,471500.0
91,202004,경남,기타 외국식 음식점업,1244326658.0
92,202004,경남,기타 주점업,529898998.0
93,202004,경남,기타음식료품위주종합소매업,12665969178.0
94,202004,경남,내항 여객 운송업,23096100.0
95,202004,경남,마사지업,24067000.0
96,202004,경남,면세점,0.0
97,202004,경남,버스 운송업,273300.0
98,202004,경남,비알콜 음료점업,2539300857.0
99,202004,경남,빵 및 과자류 소매업,3540351336.0
100,202004,경남,서양식 음식점업,3485278484.0
101,202004,경남,수산물 소매업,888405720.0
102,202004,경남,슈퍼마켓,29032410725.0
103,202004,경남,스포츠 및 레크레이션 용품 임대업,3112371595.0
104,202004,경남,여관업,733266283.0
105,202004,경남,여행사업,36000.0
106,202004,경남,욕탕업,789447037.0
107,202004,경남,육류 소매업,5506280536.0
108,202004,경남,일반유흥 주점업,3481971341.0
109,202004,경남,일식 음식점업,1819327172.0
110,202004,경남,자동차 임대업,0.0
111,202004,경남,전시 및 행사 대행업,32890950.0
112,202004,경남,정기 항공 운송업,0.0
113,202004,경남,중식 음식점업,2366173508.0
114,202004,경남,차량용 가스 충전업,1188167815.0
115,202004,경남,차량용 주유소 운영업,39587582972.0
116,202004,경남,체인화 편의점,19625737565.0
117,202004,경남,택시 운송업,9092710.0
118,202004,경남,피자 햄버거 샌드위치 및 유사 음식점업,3980305098.0
119,202004,경남,한식 음식점업,43785197942.0
120,202004,경남,호텔업,11071099.0
